ItemCode,item_name,unit,source_plants
210014,쿠앤크바믹스,BT,"남양주1,남양주2,김해,논산"
210015,캔디바외부믹스,BT,논산
210016,캔디바내부믹스,BT,논산
210057,그라시아쿠키앤크림믹스,BT,"남양주1,남양주2,김해"
210112,바나나바믹스,BT,"김해,논산"
210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산"
210304,참붕어싸만코(수출용)믹스,BT,"김해,논산"
210324,수출용 망고맛바 믹스(N),BT,"김해,논산"
210340,(신)딸기맛바(수출용)믹스,BT,"김해,논산"
210347,(식)요맘때 복숭아 기본믹스,BT,"김해,논산"
210348,더위사냥 믹스(수출용),BT,김해
210371,(품)까페오레 믹스,BT,논산
210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산"
210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산"
210417,C투대 클래식 기본믹스,BT,"남양주1,남양주2,김해"
210474,요맘때 플레인바 믹스,BT,"남양주1,남양주2"
210494,요맘때 딸기바 믹스(N),BT,"남양주1,남양주2,김해,논산"
210508,엑설런트 클래식(V)믹스R,BT,논산
210511,엔초 믹스91(28),BT,"남양주1,남양주2"
210529,메로나수출용믹스(신),BT,김해
210533,투게더 밀크믹스,BT,논산
210534,투딸기 딸기믹스,BT,논산
210536,투밀크&초코 초코믹스,BT,논산
210577,엑설런트 클래식(F)믹스S,BT,논산
210578,수출용 메로나 코코넛믹스,BT,논산
210590,뉴콘 초코믹스,BT,논산
210634,콘과자믹스(N),BT,논산
210637,E참붕어싸만코 녹차 멀티 믹스,BT,김해
211049,더위사냥700수출(멀티반제품),Box,김해
212008,초코콘과자(한정판),EA,논산
212009,콘과자(민트초코),EA,논산
212010,쿠앤크 콘과자,EA,논산
213132,요맘때 블루베리 믹스,BT,논산
213137,떡붕어싸만코 믹스,BT,"남양주1,남양주2,김해,논산"
213152,생귤탱귤감귤믹스(신2),BT,논산
213291,슈퍼콘 민트초코 기본믹스,BT,논산
213312,E비비빅 그린티 믹스,BT,논산
213364,E메론맛바 미국(N) 믹스,BT,김해
213365,E망고맛바 미국(N) 믹스,BT,김해
213382,초코붕어싸만코 믹스,BT,"남양주1,남양주2"
213415,투프럴린 프럴린믹스,BT,논산
213416,투프럴린 바닐라믹스,BT,논산
213419,E메로나 우베믹스,BT,"김해,논산"
213432,투게더 미니어쳐 기본믹스,BT,"남양주1,남양주2"
213469,비비빅 수출용믹스 (미국),BT,논산
213520,슈퍼콘 쿠앤크 믹스,BT,논산
213524,메로나 피나콜라다 믹스,BT,김해
213525,요맘때슈팅요거트믹스,BT,"남양주1,남양주2"
213526,요맘때슈팅소다믹스,BT,"남양주1,남양주2"
213600,딸기믹스_링키바(N),BT,논산
213603,초코믹스_링키바(N),BT,논산
213604,쿠키믹스_링키바(N),BT,논산
219054,요맘때 플레인 콘 기본믹스,BT,"남양주1,남양주2"
219056,끌 클린딸기 믹스,BT,"남양주1,남양주2"
219063,E메로나TUB메론믹스,BT,논산
219064,E메로나TUB딸기믹스,BT,논산
219074,요맘때카톤딸기믹스(딸기),BT,논산
219077,호두과자 붕어싸만코 믹스,BT,"남양주1,남양주2,논산"
219080,쿠앤크 티라미수 믹스(신),BT,김해
219081,메론맛바_미국 코스트코(반제품),Box,김해
219082,망고맛바_미국 코스트코(반제품),Box,김해
219084,E메로나 코코넛(HALAL) 믹스,BT,김해
219086,E메로나 망고(HALAL) 믹스,BT,김해
219087,요맘때카톤딸기믹스(플레인),BT,논산
219089,E피스타치오맛바 믹스,BT,"김해,논산"
219090,요맘때딸기콘 딸기믹스,BT,"남양주1,남양주2"
219091,요맘때딸기콘 요거트믹스,BT,"남양주1,남양주2"
219092,E메로나(AU) 믹스_호주유럽(P),BT,"김해,논산"
219096,딸기맛바(N)_미국 코스트코(반제품),Box,김해
219097,E딸기맛바(N)(미국) 기본믹스,BT,김해
219098,E참붕어싸만코 녹차 믹스(북미캐나다),BT,논산
219100,슈크림 붕어싸만코 믹스,BT,"남양주1,남양주2"
219114,E망고맛바_호주유럽(P) 기본믹스,BT,"김해,논산"
219116,따옴바 납작복숭아 기본믹스N,BT,"남양주1,남양주2"
219117,따옴바 딸기 기본믹스N,BT,"남양주1,남양주2"
219118,따옴바 패션프루트 기본믹스N,BT,"남양주1,남양주2"
219122,그라시아초코쿠앤크믹스,BT,"남양주1,남양주2"
219126,E코코넛맛바 호주유럽(P)_기본믹스,BT,김해
219127,E메로나컵메론믹스,BT,"남양주1,남양주2"
219138,(신) E메로나 딸기(HALAL) 믹스,BT,김해
219143,"E참붕어 슈크림(프렌치바닐라, 커스타드크림) 믹스",BT,논산
219145,생귤탱귤 제로감귤 믹스,BT,논산
219146,E메로나 우베맛바_호주유럽(P) 믹스,BT,김해
219147,E바나나맛바_호주유럽(P) 믹스,BT,김해
219148,쿠앤크 말차 기본믹스,BT,김해
219149,딥앤로우 소프트바닐라 믹스,BT,"남양주1,남양주2"
219150,딥앤로우 소프트멜론 믹스,BT,"남양주1,남양주2"
219152,E메론맛바(P)_캐나다(반제품),Box,김해
219153,E망고맛바(P)_캐나다(반제품),Box,김해
219158,요맘때바 블루베리 믹스,BT,논산
219159,엔초 디카페인커피 믹스,BT,"남양주1,남양주2"
219161,따옴 트위스트 귤파믹스,BT,"남양주1,남양주2"
219162,딥앤로우 초코바 기본믹스,BT,논산
219163,딥앤로우 카라멜바 기본믹스,BT,논산
219164,캔디바 메론소다 외부믹스,BT,논산
219167,팝콘 붕어싸만코 기본믹스,BT,"남양주1,남양주2"
219169,딥앤로우크런치커피믹스,BT,"남양주1,남양주2"
219170,딥앤로우크런치초코믹스,BT,"남양주1,남양주2"
219172,요맘때 리치피치 믹스,BT,"남양주1,남양주2"
219179,E메론맛바(통합) 기본믹스,BT,"김해,논산"
219180,E딸기맛바(통합) 기본믹스,BT,"김해,논산"
219181,E망고맛바(통합) 기본믹스,BT,"김해,논산"
219182,E메로나 우베맛바(통합) 기본믹스,BT,논산
219184,E딸기맛바 호주유럽(P) 믹스,BT,김해
219185,캔디바 메론소다 내부믹스,BT,논산
219186,E참붕어싸만코(P) 기본믹스,BT,논산
219187,요맘때 레인보우 오렌지파인애플 믹스,BT,"남양주1,남양주2"
219188,요맘때 블루베리 콘 블루베리 믹스,BT,"남양주1,남양주2"
219190,E피스타치오맛바(P) 기본믹스,BT,김해
219191,E딸기맛바(P)_캐나다(반제품),Box,김해
219193,더위사냥 저당 디카페인 믹스,BT,"남양주1,남양주2"
219209,E참붕어싸만코 옥수수 기본믹스,BT,논산
219210,E엑설런트 바닐라 믹스,BT,논산
219211,E엑설런트 프렌치바닐라 믹스,BT,논산
219215,E커피맛바 기본믹스,BT,김해
219216,엔초 믹스N,BT,"남양주1,남양주2"
219218,말차 붕어싸만코 기본 믹스,BT,"남양주1,남양주2"
219222,딥앤로우크런치바닐라믹스,BT,"남양주1,남양주2"
219223,E따옴바 딸기 믹스,BT,"남양주1,남양주2"
220006,바나나맛우유믹스,BT,"남양주1,남양주2,김해,논산"
220007,참맛딸기믹스,BT,"남양주1,남양주2"
220008,참맛초코믹스,BT,김해
220019,유산균배양액,BT,"남양주1,남양주2,김해"
220022,쥬시쿨FINAL믹스,BT,"남양주1,남양주2,김해"
220025,쥬시쿨(파인)FINAL믹스,BT,"남양주1,남양주2"
220032,욥닥터병,EA,김해
220051,바나나맛우유믹스(수출용),BT,김해
220059,빙그레딸기맛우유믹스,BT,논산
220067,바나나병(상),EA,"김해,광주"
220068,바나나병(하),EA,"김해,광주"
220069,딸기병(상),EA,광주
220073,바나나병라이트병(상),EA,광주
220076,바나나병(상)중국,EA,광주
220077,딸기병(상)중국,EA,광주
220090,바나나우유맛 라이트믹스,BT,"남양주1,남양주2"
220114,쥬시쿨복숭아믹스,BT,"남양주1,남양주2,김해"
220118,굿모닝저지방우유믹스,BT,"남양주1,남양주2"
220125,클래식 DVS 믹스,BT,광주
220129,요플레 오리지널 믹스,BT,광주
220133,딸기맛우유믹스(수출),BT,김해
220140,메론맛우유믹스(수출),BT,김해
220142,바나나맛우유믹스(중국),BT,논산
220143,닥터바이오 펙틴(사과),BT,김해
220144,닥터바이오 믹스(사과),BT,김해
220150,요플레 플레인 화이트 믹스,BT,"남양주1,남양주2"
220170,메론병(상)중국,EA,김해
220171,바나나맛우유믹스(미국),BT,김해
220183,바리스타밀크 믹스,BT,"남양주1,남양주2"
220184,시유믹스,BT,"남양주1,남양주2"
222010,요플레클래식85g(멀티반제품)_광주,CS2,광주
222024,요플레8입(멀티반제품)-광주V,CS2,광주
222026,요플레블루베리V(기내식반제품)-광주,CS2,광주
222051,바나나맛우유(반제품),CS,"남양주1,남양주2"
222052,바나나라이트(반제품),CS,"남양주1,남양주2"
222053,딸기맛우유(반제품),CS,논산
223010,요플레 토핑 믹스,BT,광주
223102,닥터바이오펙틴(플레인),BT,김해
223103,닥터바이오 믹스(플레인),BT,김해
223271,요플레 그릭 마일드 믹스,BT,"남양주1,남양주2"
223312,딸기맛우유믹스(미국),BT,김해
223313,메론맛우유믹스(미국),BT,김해
223342,아카페라스페셜티컵라떼 300 믹스,BT,김해
223343,아카페라스페셜티컵카라멜 300 믹스,BT,김해
223351,오늘의커피 카페라떼,BT,김해
223352,오늘의커피 바닐라라떼,BT,김해
223354,바닐라맛우유믹스(수출용T/P),BT,김해
223374,닥터캡슐 프로텍트 공통믹스,BT,광주
223394,커피맛우유믹스(미국),BT,김해
223513,바나나키베이스(자연과사람들),KG,김해
223515,요플레 그릭 믹스,BT,광주
223516,춘식이딸기 믹스,BT,"남양주1,남양주2"
223517,춘식이바나나 믹스,BT,"남양주1,남양주2"
223518,춘식이커피 믹스,BT,김해
223519,Only 3 플레인 믹스,BT,광주
223520,바나나맛우유 B-grade 믹스,BT,김해
223521,딸기맛우유 B-grade 믹스,BT,김해
223522,타로맛우유(수출용) 믹스,BT,김해
223524,메로나맛우유믹스,BT,김해
223525,요플레딸기(기내식반제품)-광주,CS2,광주
223526,바이오 믹스 (포도),BT,김해
223527,바이오 펙틴(포도),BT,김해
223535,요플레 플레인 화이트 락토프리 믹스,BT,"남양주1,남양주2"
223539,밤맛우유(수출용) 믹스,BT,김해
223540,퇴근커피 카라멜라떼 믹스,BT,김해
223541,출근커피 바닐라라떼 믹스,BT,김해
223543,무가당 바나나맛우유 믹스,BT,"남양주1,남양주2"
223546,요플레 제로 믹스,BT,"남양주1,남양주2"
223547,믹스-더단백 워터프로틴CUP 복숭아,BT,김해
223548,990딸기믹스,BT,"남양주1,남양주2"
223549,990초코믹스,BT,김해
223558,요플레 오리지널 믹스 (R),BT,"남양주1,남양주2"
223561,맛점커피 바나나라떼 믹스,BT,김해
223562,오늘의커피 연유라떼 믹스,BT,김해
223564,춘식이멜론 믹스,BT,"남양주1,남양주2"
223568,대용량우유 믹스,BT,"남양주1,남양주2"
223573,믹스-빙그레 제로 아이스티 복숭아,BT,김해
223574,믹스-빙그레 제로 아이스티 샤인머스캣,BT,김해
223579,더단백드링크 초코믹스,BT,김해
223582,믹스-쥬시쿨 에이드 금귤&감귤,BT,김해
223583,믹스-쥬시쿨 에이드 사과,BT,김해
223584,더단백드링크 민트초코 믹스,BT,김해
223585,포비 광화문라떼 믹스,BT,김해
223586,포비 플랫화이트 믹스,BT,김해
223588,춘식이피스타치오초코 믹스,BT,"남양주1,남양주2"
240002,꽃게랑400펠렛,BT,광주
240003,스모키펠렛,BT,광주
240004,야채타임(백색)펠렛,BT,광주
240009,야채타임(녹색)펠렛,BT,광주
240010,야채타임(주황색)펠렛,BT,광주
240024,꽃게랑 불짬뽕펠렛,BT,광주
240025,꽃게랑WASABI펠렛,BT,광주
242101,쟈키쟈키 갈버스 펠렛,BT,광주
242201,꽃게랑 간장펠렛,BT,광주
250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해"
251043,끌 베리믹스바 믹스(M),BT,"남양주1,남양주2"
251044,끌 에스프레소바 믹스(M),BT,"남양주1,남양주2"
251045,끌 쿠앤크바 믹스(M),BT,"남양주1,남양주2"
251062,끌 쇼콜라치즈케익컵 믹스,BT,"남양주1,남양주2"
251090,끌 쿠키앤초코바 믹스,BT,"남양주1,남양주2"
251091,끌 클린초코 믹스,BT,"남양주1,남양주2"
251112,끌 치즈케익컵 기본믹스N,BT,"남양주1,남양주2"
260014,탈지분유,KG,광주
260015,농축유,KG,"남양주1,남양주2,김해"
260016,생크림(냉동),KG,"남양주1,남양주2,광주"
260018,탈지유,KG,"남양주1,남양주2,광주"
260034,탈지유(수),KG,광주
260039,살균유,KG,"남양주1,남양주2,광주"
260042,유크림믹스,KG,"남양주1,남양주2,광주"
260043,유크림믹스(수),KG,광주
260047,생크림(냉장),KG,광주
260349,BOTTLE-닥터캡슐 1000,EA,광주
260351,살균탈지유(수),KG,광주
260352,살균탈지유,KG,광주
260353,메로나병(상),EA,김해
260355,고구마병(상),EA,광주
260356,고구마병(상)중국,EA,광주
