공장,예측일,항목,예측값,실측값,오차(%),생산량(kg),생성일시,갱신일시
남양주2,2026-05-15T00:00:00.000,연료,3520.09,,,0,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-15T00:00:00.000,용수,594.32,,,0,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-15T00:00:00.000,전력,45193.53,,,0,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-14T00:00:00.000,연료,5096.65,4532,12.46,186214,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-14T00:00:00.000,용수,1007.07,1066,5.53,186214,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-14T00:00:00.000,전력,89263.69,92736,3.74,186214,2026-05-15T14:51:28.000,2026-05-15T15:19:54.000
남양주2,2026-05-13T00:00:00.000,연료,4783.87,4548,5.19,195879,2026-05-15T14:27:49.000,2026-05-15T15:19:54.000
남양주2,2026-05-13T00:00:00.000,용수,999.36,1036,3.54,195879,2026-05-15T14:27:49.000,2026-05-15T15:19:54.000
남양주2,2026-05-13T00:00:00.000,전력,88095.69,93384,5.66,195879,2026-05-15T14:27:49.000,2026-05-15T15:19:54.000
남양주2,2026-05-12T00:00:00.000,연료,5234.4,4269,22.61,219755,2026-05-12T10:38:39.000,2026-05-15T15:19:54.000
남양주2,2026-05-12T00:00:00.000,용수,1103.46,1093,0.96,219755,2026-05-12T10:38:39.000,2026-05-15T15:19:54.000
남양주2,2026-05-12T00:00:00.000,전력,90156.29,95256,5.35,219755,2026-05-12T10:38:39.000,2026-05-15T15:19:54.000
남양주2,2026-05-11T00:00:00.000,연료,4860.62,4927,1.35,175667,2026-05-11T17:36:00.000,2026-05-15T15:19:54.000
남양주2,2026-05-11T00:00:00.000,용수,667.04,1015,34.28,175667,2026-05-11T17:36:00.000,2026-05-15T15:19:54.000
남양주2,2026-05-11T00:00:00.000,전력,85218.97,91584,6.95,175667,2026-05-11T17:36:00.000,2026-05-15T15:19:54.000
남양주2,2026-05-08T00:00:00.000,연료,4928.63,4040,22,224876,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-08T00:00:00.000,용수,835.01,896,6.81,224876,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-08T00:00:00.000,전력,87350.65,91008,4.02,224876,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-07T00:00:00.000,연료,4949.02,5485,9.77,208106,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-07T00:00:00.000,용수,1000.55,1016,1.52,208106,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-07T00:00:00.000,전력,84176.32,86328,2.49,208106,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-06T00:00:00.000,연료,4834.22,4940,2.14,183143,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-06T00:00:00.000,용수,898.98,1005,10.55,183143,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-06T00:00:00.000,전력,81876.71,89280,8.29,183143,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-04T00:00:00.000,연료,4908.11,3707,32.4,172437,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-04T00:00:00.000,용수,353.11,909,61.15,172437,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-04T00:00:00.000,전력,82420.08,80064,2.94,172437,2026-05-11T14:44:35.000,2026-05-15T15:19:54.000
남양주2,2026-05-01T00:00:00.000,연료,3890.16,1231,216.02,48854,2026-05-03T11:40:46.000,2026-05-15T15:19:54.000
남양주2,2026-05-01T00:00:00.000,용수,647.48,335,93.28,48854,2026-05-03T11:40:46.000,2026-05-15T15:19:54.000
남양주2,2026-05-01T00:00:00.000,전력,36518.27,41400,11.79,48854,2026-05-03T11:40:46.000,2026-05-15T15:19:54.000
남양주2,2026-04-30T00:00:00.000,연료,4902.36,4245,15.49,209950,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-30T00:00:00.000,용수,1036.69,1086,4.54,209950,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-30T00:00:00.000,전력,89035.26,88776,0.29,209950,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-29T00:00:00.000,연료,5324.47,4923,8.15,212650,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-29T00:00:00.000,용수,1122.35,1021,9.93,212650,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-29T00:00:00.000,전력,85400.68,80280,6.38,212650,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-28T00:00:00.000,연료,5062.1,4297,17.81,316415,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-28T00:00:00.000,용수,1159.42,1219,4.89,316415,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-28T00:00:00.000,전력,90529.9,94248,3.95,316415,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-27T00:00:00.000,연료,4599.37,4968,7.42,110109,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-27T00:00:00.000,용수,942.33,1119,15.79,110109,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-27T00:00:00.000,전력,78946.81,82152,3.9,110109,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-24T00:00:00.000,연료,5158.03,4695,9.86,224872,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-24T00:00:00.000,용수,1018.31,988,3.07,224872,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-24T00:00:00.000,전력,92957.5,87624,6.09,224872,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-23T00:00:00.000,연료,5277.95,5806,9.09,188864,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-23T00:00:00.000,용수,1124.56,1054,6.69,188864,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-23T00:00:00.000,전력,85879.59,90936,5.56,188864,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-22T00:00:00.000,연료,5101.01,4637,10.01,183502,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-22T00:00:00.000,용수,1064.87,1069,0.39,183502,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-22T00:00:00.000,전력,84942.06,80712,5.24,183502,2026-04-30T15:54:58.000,2026-05-15T15:19:54.000
남양주2,2026-04-21T00:00:00.000,연료,5528.69,5632,1.83,255472,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-21T00:00:00.000,용수,1276.49,1186,7.63,255472,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-21T00:00:00.000,전력,93619.88,87840,6.58,255472,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-20T00:00:00.000,연료,5179.74,5251,1.36,152564,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-20T00:00:00.000,용수,1074.05,1039,3.37,152564,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-20T00:00:00.000,전력,85152.67,87768,2.98,152564,2026-04-23T13:48:16.000,2026-05-15T15:19:54.000
남양주2,2026-04-17T00:00:00.000,연료,4938.29,4795,2.99,214852,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-17T00:00:00.000,용수,978.72,1039,5.8,214852,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-17T00:00:00.000,전력,87344.61,92736,5.81,214852,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-16T00:00:00.000,연료,5452.69,5265,3.56,219306,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-16T00:00:00.000,용수,1068.02,1150,7.13,219306,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-16T00:00:00.000,전력,89217.75,90288,1.19,219306,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-15T00:00:00.000,연료,5562.38,5173,7.53,214356,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-15T00:00:00.000,용수,1081.55,1167,7.32,214356,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-15T00:00:00.000,전력,87655.5,86112,1.79,214356,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,연료,5151.6,5185,0.64,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,용수,1142.61,1211,5.65,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,전력,92229.77,89712,2.81,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,연료,5037.97,5097,1.16,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,용수,1046.26,1068,2.04,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,전력,79372.18,79128,0.31,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,연료,4940.6,4550,8.58,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,용수,1055.84,1009,4.64,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,전력,85629.02,82728,3.51,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,연료,5691.34,5645,0.82,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,용수,1114.93,910,22.52,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,전력,84549.3,76536,10.47,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,연료,5305.16,5994,11.49,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,용수,1158.63,1316,11.96,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,전력,87082.5,82080,6.09,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,연료,5558.87,6036,7.9,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,용수,1193.3,1260,5.29,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,전력,87976.27,89280,1.46,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,연료,5177.06,5048,2.56,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,용수,1207.98,1171,3.16,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,전력,85969.8,80352,6.99,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,연료,4988.43,4616,8.07,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,용수,809.6,981,17.47,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,전력,88062.82,92232,4.52,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,연료,5625.41,5451,3.2,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,용수,1131.87,1136,0.36,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,전력,87900.61,89424,1.7,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,연료,5412.51,6347,14.72,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,용수,1169.29,1289,9.29,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,전력,92482.09,87768,5.37,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
